* Result Vertices of marching cube 
* Vertices (3 floats) are saved per line. Every three lines are a triangle.
* Author: The5_2 
* 
* Vertices: 4128 
v 0.202762 0.444444 0.111111
v 0.172314 0.555556 0.111111
v 0.111111 0.445945 0.333333
v 0.111111 0.444444 0.331266
v 0.222222 0.444444 0.286155
v 0.111111 0.445945 0.333333
v 0.222222 0.444444 0.286155
v 0.173748 0.555556 0.222222
v 0.111111 0.445945 0.333333
v 0.173748 0.555556 0.222222
v 0.209737 0.555556 0.333333
v 0.222222 0.473108 0.222222
v 0.173748 0.555556 0.222222
v 0.222222 0.444444 0.286155
v 0.111111 0.445945 0.333333
v 0.209737 0.555556 0.333333
v 0.111111 0.555556 0.380988
v 0.222222 0.541149 0.555556
v 0.218579 0.555556 0.555556
v 0.222222 0.555556 0.526288
v 0.111111 0.444444 0.581392
v 0.111111 0.483689 0.666667
v 0.164448 0.444444 0.666667
v 0.218579 0.555556 0.555556
v 0.222222 0.541149 0.555556
v 0.222222 0.555556 0.559673
v 0.164448 0.444444 0.666667
v 0.222222 0.488838 0.777778
v 0.222222 0.444444 0.726967
v 0.164448 0.444444 0.666667
v 0.111111 0.483689 0.666667
v 0.222222 0.488838 0.777778
v 0.111111 0.483689 0.666667
v 0.111111 0.492668 0.777778
v 0.222222 0.488838 0.777778
v 0.111111 0.555556 0.85073
v 0.156449 0.555556 0.888889
v 0.222222 0.500291 0.888889
v 0.111111 0.555556 0.85073
v 0.222222 0.500291 0.888889
v 0.111111 0.492668 0.777778
v 0.111111 0.492668 0.777778
v 0.222222 0.500291 0.888889
v 0.222222 0.488838 0.777778
v 0.222222 0.500291 0.888889
v 0.156449 0.555556 0.888889
v 0.222222 0.555556 0.996339
v 0.111111 0.555556 0.0487747
v 0.111111 0.617182 0.111111
v 0.172314 0.555556 0.111111
v 0.111111 0.617182 0.111111
v 0.111111 0.666667 0.181492
v 0.222222 0.666667 0.221282
v 0.111111 0.617182 0.111111
v 0.222222 0.666667 0.221282
v 0.173748 0.555556 0.222222
v 0.111111 0.617182 0.111111
v 0.173748 0.555556 0.222222
v 0.172314 0.555556 0.111111
v 0.222222 0.665033 0.222222
v 0.173748 0.555556 0.222222
v 0.222222 0.666667 0.221282
v 0.222222 0.665033 0.222222
v 0.222222 0.666667 0.222703
v 0.11302 0.666667 0.333333
v 0.222222 0.665033 0.222222
v 0.11302 0.666667 0.333333
v 0.173748 0.555556 0.222222
v 0.173748 0.555556 0.222222
v 0.11302 0.666667 0.333333
v 0.209737 0.555556 0.333333
v 0.111111 0.555556 0.380988
v 0.11302 0.666667 0.333333
v 0.111111 0.666667 0.335781
v 0.209737 0.555556 0.333333
v 0.11302 0.666667 0.333333
v 0.111111 0.555556 0.380988
v 0.216116 0.666667 0.555556
v 0.222222 0.555556 0.526288
v 0.218579 0.555556 0.555556
v 0.222222 0.666667 0.537319
v 0.222222 0.555556 0.526288
v 0.216116 0.666667 0.555556
v 0.218579 0.555556 0.555556
v 0.222222 0.666667 0.603907
v 0.216116 0.666667 0.555556
v 0.222222 0.555556 0.559673
v 0.222222 0.666667 0.603907
v 0.218579 0.555556 0.555556
v 0.111111 0.555556 0.85073
v 0.111111 0.586171 0.888889
v 0.156449 0.555556 0.888889
